timestamp,host,user,parent,process,cmdline
2026-09-16T08:01:11Z,WS-001,alice,explorer.exe,outlook.exe,"C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE"
2026-09-16T08:01:15Z,WS-001,alice,explorer.exe,chrome.exe,"C:\Program Files\Google\Chrome\Application\chrome.exe"
2026-09-16T08:02:40Z,WS-002,bob,explorer.exe,outlook.exe,"C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE"
2026-09-16T08:02:44Z,WS-002,bob,explorer.exe,chrome.exe,"C:\Program Files\Google\Chrome\Application\chrome.exe"
2026-09-16T08:03:01Z,WS-003,carol,explorer.exe,outlook.exe,"C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE"
2026-09-16T08:03:05Z,WS-003,carol,explorer.exe,teams.exe,"C:\Users\carol\AppData\Local\Microsoft\Teams\current\Teams.exe"
2026-09-16T08:04:12Z,WS-004,dave,explorer.exe,outlook.exe,"C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE"
2026-09-16T08:04:20Z,WS-004,dave,explorer.exe,chrome.exe,"C:\Program Files\Google\Chrome\Application\chrome.exe"
2026-09-16T08:05:33Z,WS-005,erin,explorer.exe,outlook.exe,"C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE"
2026-09-16T08:05:40Z,WS-005,erin,explorer.exe,excel.exe,"C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE"
2026-09-16T08:06:02Z,WS-006,frank,explorer.exe,outlook.exe,"C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE"
2026-09-16T08:06:10Z,WS-006,frank,explorer.exe,chrome.exe,"C:\Program Files\Google\Chrome\Application\chrome.exe"
2026-09-16T08:07:45Z,WS-007,grace,explorer.exe,outlook.exe,"C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE"
2026-09-16T08:07:50Z,WS-007,grace,explorer.exe,chrome.exe,"C:\Program Files\Google\Chrome\Application\chrome.exe"
2026-09-16T08:08:12Z,WS-008,heidi,explorer.exe,outlook.exe,"C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE"
2026-09-16T08:08:20Z,WS-008,heidi,explorer.exe,excel.exe,"C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE"
2026-09-16T09:00:00Z,WS-001,SYSTEM,services.exe,svchost.exe,"C:\Windows\System32\svchost.exe -k netsvcs -p"
